global_index,verb,row_in_verb,Number of hit,Text ID,Concordance line,Tagged concordance line,URL,Match-begin corpus position,Match-end corpus position,pos_tag,layer
217,agree_that,17,18,CEJ,Evangelists Believe about the Death of Jesus All the Evangelists agree that the death of Jesus was necessary . All three understand the,Evangelists_NN2 Believe_VVB about_PRP-AVP the_AT0 Death_NN1 of_PRF Jesus_NP0 All_DT0 the_AT0 Evangelists_NN2 agree_VVB that_CJT the_AT0 death_NN1 of_PRF Jesus_NP0 was_VBD necessary_AJ0 ._PUN All_DT0 three_CRD understand_VVB the_AT0,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9t&batch=17,31318453,31318455,agree_that_AT0,1
265,agree_that,65,66,HR0,to drastic losses in income and capital . Historians generally agree that the outcome was favourable to the government . It had managed,to_PRP drastic_AJ0 losses_NN2 in_PRP income_NN1 and_CJC capital_NN1 ._PUN Historians_NN2 generally_AV0 agree_VVB that_CJT the_AT0 outcome_NN1 was_VBD favourable_AJ0 to_PRP the_AT0 government_NN1 ._PUN It_PNP had_VHD managed_VVN,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9t&batch=65,85198617,85198619,agree_that_AT0,1
269,agree_that,69,70,ABC,"of a pipless , unripe melon . Many bio-acoustic experts agree that the echolocation clicks are created by implosive movements of air in","of_PRF a_AT0 pipless_AJ0 ,_PUN unripe_AJ0 melon_NN1 ._PUN Many_DT0 bio-acoustic_AJ0 experts_NN2 agree_VVB that_CJT the_AT0 echolocation_NN1 clicks_NN2 are_VBB created_VVN by_PRP implosive_AJ0 movements_NN2 of_PRF air_NN1 in_PRP",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9t&batch=69,5716016,5716018,agree_that_AT0,1
282,agree_that,82,83,H9S,conditions . Even the most sanguine grain size enthusiast would agree that no universal solution exists as yet to enable the sedimentologist unequivocally,conditions_NN2 ._PUN Even_AV0 the_AT0 most_AV0 sanguine_AJ0 grain_NN1 size_NN1 enthusiast_NN1 would_VM0 agree_VVI that_CJT no_AT0 universal_AJ0 solution_NN1 exists_VVZ as_CJS yet_AV0 to_TO0 enable_VVI the_AT0 sedimentologist_NN1 unequivocally_AV0,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9t&batch=82,73570507,73570509,agree_that_AT0,1
291,agree_that,91,92,HWD,a yardland or less fare in these circumstances ? Historians agree that the size of this group was certainly much reduced in number,a_AT0 yardland_NN1 or_CJC less_DT0 fare_NN1-VVB in_PRP these_DT0 circumstances_NN2 ?_PUN Historians_NN2 agree_VVB that_CJT the_AT0 size_NN1 of_PRF this_DT0 group_NN1 was_VBD certainly_AV0 much_AV0 reduced_VVN in_PRP number_NN1,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9t&batch=91,89012946,89012948,agree_that_AT0,1
304,agree_to,4,5,BN2,", linking Stettin , Danzig and Königsberg , Germany would agree to guarantee Polish borders for a period of 25 years . Lipski",",_PUN linking_VVG Stettin_NP0 ,_PUN Danzig_NP0 and_CJC Königsberg_NP0 ,_PUN Germany_NP0 would_VM0 agree_VVI to_TO0 guarantee_VVI Polish_AJ0 borders_NN2 for_PRP a_AT0 period_NN1 of_PRF 25_CRD years_NN2 ._PUN Lipski_NP0",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha7r&batch=4,21700245,21700247,agree_to_VVI,1
318,agree_to,18,19,CJF,"have to agree on your story . Better still , agree to tell the truth . I take it that Barbara was your","have_VHB to_TO0 agree_VVI on_PRP-AVP your_DPS story_NN1 ._PUN Better_AV0 still_AV0 ,_PUN agree_VVB to_TO0 tell_VVI the_AT0 truth_NN1 ._PUN I_PNP take_VVB it_PNP that_CJT Barbara_NP0 was_VBD your_DPS",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha7r&batch=18,35847137,35847139,agree_to_VVI,1
341,agree_to,41,42,JXT,", &lsquo; OK . For Jeff 's sake I 'll agree to help you . &rsquo; &lsquo; For Jeff 's sake ? &rsquo;",",_PUN &lsquo;_PUQ OK_AV0 ._PUN For_PRP Jeff_NP0 's_POS sake_NN1 I_PNP 'll_VM0 agree_VVI to_TO0 help_VVI you_PNP ._PUN &rsquo;_PUQ &lsquo;_PUQ For_PRP Jeff_NP0 's_POS sake_NN1 ?_PUN &rsquo;_PUQ",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha7r&batch=41,97019487,97019489,agree_to_VVI,1
342,agree_to,42,43,KRT,", if the Council agree , if members of Council agree to make the bye-law , then it would have to be referred",",_PUN if_CJS the_AT0 Council_NN1 agree_VVB ,_PUN if_CJS members_NN2 of_PRF Council_NN1 agree_VVB to_TO0 make_VVI the_AT0 bye-law_NN1 ,_PUN then_AV0 it_PNP would_VM0 have_VHI to_TO0 be_VBI referred_VVN",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha7r&batch=42,111636108,111636110,agree_to_VVI,1
362,agree_to,62,63,EF2,"Mary herself , Bothwell raped her and she had to agree to marry him . A rushed divorce from his wife was arranged","Mary_NP0 herself_PNX ,_PUN Bothwell_NP0 raped_VVD her_PNP and_CJC she_PNP had_VHD to_TO0 agree_VVI to_TO0 marry_VVI him_PNP ._PUN A_AT0 rushed_AJ0-VVD divorce_NN1-VVB from_PRP his_DPS wife_NN1 was_VBD arranged_VVN",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha7r&batch=62,47714375,47714377,agree_to_VVI,1
401,come_back,1,2,EWH,"get out and do n't come back . Do n't come back ever &hellip; "" The full force of her loss came in","get_VVB out_AVP and_CJC do_VDB n't_XX0 come_VVI back_AVP ._PUN Do_VDB n't_XX0 come_VVI back_AVP ever_AV0 &hellip;_PUN ""_PUQ The_AT0 full_AJ0 force_NN1 of_PRF her_DPS loss_NN1 came_VVD in_AVP",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8ff&batch=1,50084341,50084343,come_back_AV0,1
410,come_back,10,11,JJ8,"can , of ours . Making us a space to come back again . Yeah . Mm . I do nt see why","can_VM0 ,_PUN of_PRF ours_PNP ._PUN Making_VVG us_PNP a_AT0 space_NN1 to_TO0 come_VVI back_AVP again_AV0 ._PUN Yeah_ITJ ._PUN Mm_ITJ ._PUN I_PNP do_VDB nt_XX0 see_VVI why_AVQ",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8ff&batch=10,95654934,95654936,come_back_AV0,1
411,come_back,11,12,CFJ,". I have to go now , but I 'll come back tomorrow . Goodbye , Anabelle ! Goodbye , friend ! &rsquo;","._PUN I_PNP have_VHB to_TO0 go_VVI now_AV0 ,_PUN but_CJC I_PNP 'll_VM0 come_VVI back_AVP tomorrow_AV0 ._PUN Goodbye_ITJ ,_PUN Anabelle_NP0 !_PUN Goodbye_ITJ ,_PUN friend_NN1 !_PUN &rsquo;_PUQ",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8ff&batch=11,32537229,32537231,come_back_AV0,1
450,come_back,50,51,CFY,"go on forever and , I repeat , we 'll come back here one day . I know inside . &rsquo; She thumped","go_VVI on_AVP-PRP forever_AV0 and_CJC ,_PUN I_PNP repeat_VVB ,_PUN we_PNP 'll_VM0 come_VVI back_AVP here_AV0 one_CRD day_NN1 ._PUN I_PNP know_VVB inside_AV0 ._PUN &rsquo;_PUQ She_PNP thumped_VVD",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8ff&batch=50,32906371,32906373,come_back_AV0,1
491,come_back,91,92,A0R,"her with another tall , fair man . I 'll come back later , &rsquo; Maggie smiled at him . Luke and Maggie","her_PNP with_PRP another_DT0 tall_AJ0 ,_PUN fair_AJ0 man_NN1 ._PUN I_PNP 'll_VM0 come_VVI back_AVP later_AV0 ,_PUN &rsquo;_PUQ Maggie_NP0 smiled_VVD at_PRP him_PNP ._PUN Luke_NP0 and_CJC Maggie_NP0",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8ff&batch=91,793341,793343,come_back_AV0,1
549,come_in,49,50,HRA,"stutter , &rsquo; Rogers said . &lsquo; Go out and come in again . &rsquo; Six sulky girls sidled through the door .","stutter_VVI ,_PUN &rsquo;_PUQ Rogers_NP0 said_VVD ._PUN &lsquo;_PUQ Go_VVB out_AVP and_CJC come_VVB in_AVP-PRP again_AV0 ._PUN &rsquo;_PUQ Six_CRD sulky_AJ0 girls_NN2 sidled_VVD through_PRP the_AT0 door_NN1 ._PUN",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9z&batch=49,85518591,85518593,come_in_AV0,1
581,come_in,81,82,C8N,"the high-pitched din and yelled &lsquo; Who told you to come in here , you silly children ? Get out immediately and take","the_AT0 high-pitched_AJ0 din_NN1 and_CJC yelled_VVD &lsquo;_PUQ Who_PNQ told_VVD you_PNP to_TO0 come_VVI in_PRP-AVP here_AV0 ,_PUN you_PNP silly_AJ0 children_NN2 ?_PUN Get_VVB out_AVP immediately_AV0 and_CJC take_VVB",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9z&batch=81,23837893,23837895,come_in_AV0,1
588,come_in,88,89,G1W,the receipt stubs . &lsquo; You said this Mr Lancaster come in yesterday ? &rsquo; Dexter nodded . A few seconds later the,the_AT0 receipt_NN1 stubs_NN2-VVZ ._PUN &lsquo;_PUQ You_PNP said_VVD this_DT0 Mr_NP0 Lancaster_NP0 come_VVB in_AVP-PRP yesterday_AV0 ?_PUN &rsquo;_PUQ Dexter_NP0 nodded_VVD ._PUN A_AT0 few_DT0 seconds_NN2 later_AV0 the_AT0,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9z&batch=88,63055749,63055751,come_in_AV0,1
589,come_in,89,90,HYX,"come , we 'll see that , if the cameras come in anywhere , we 'll see that all-party representation on it .","come_VVI ,_PUN we_PNP 'll_VM0 see_VVI that_DT0-CJT ,_PUN if_CJS the_AT0 cameras_NN2 come_VVB in_AVP-PRP anywhere_AV0 ,_PUN we_PNP 'll_VM0 see_VVI that_DT0-CJT all-party_AJ0 representation_NN1 on_PRP it_PNP ._PUN",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9z&batch=89,91729486,91729488,come_in_AV0,1
596,come_in,96,97,EED,off the table &hellip; do n't spit &hellip; do n't come in here with muddy shoes &hellip; turn off the telly and do,off_PRP the_AT0 table_NN1 &hellip;_PUN do_VDB n't_XX0 spit_VVI &hellip;_PUN do_VDB n't_XX0 come_VVI in_PRP-AVP here_AV0 with_PRP muddy_AJ0 shoes_NN2 &hellip;_PUN turn_VVB-NN1 off_AVP-PRP the_AT0 telly_NN1 and_CJC do_VDB,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9z&batch=96,47140593,47140595,come_in_AV0,1
682,come_out,82,83,KBH,"sweetheart , please . Come on . You do n't come out here with it normally do you ? You can walk round","sweetheart_NN1 ,_PUN please_AV0 ._PUN Come_VVB on_AVP ._PUN You_PNP do_VDB n't_XX0 come_VVI out_AVP here_AV0 with_PRP it_PNP normally_AV0 do_VDB you_PNP ?_PUN You_PNP can_VM0 walk_VVI round_PRP-AVP",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00haa2&batch=82,106491227,106491229,come_out_AV0,1
683,come_out,83,84,ASV,when Winton dived into a black hole and did n't come out again . Barton had clinched the world title &mdash; his subsequent,when_CJS Winton_NP0 dived_VVD into_PRP a_AT0 black_AJ0 hole_NN1 and_CJC did_VDD n't_XX0 come_VVI out_AVP again_AV0 ._PUN Barton_NP0 had_VHD clinched_VVN the_AT0 world_NN1 title_NN1 &mdash;_PUN his_DPS subsequent_AJ0,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00haa2&batch=83,15115081,15115083,come_out_AV0,1
685,come_out,85,86,K1N,month &rsquo; and I do get upset if it 's come out perfectly . You do n't get perfection very often . &rsquo;,month_NN1 &rsquo;_PUQ and_CJC I_PNP do_VDB get_VVI upset_AJ0-VVN if_CJS it_PNP 's_VHZ come_VVN out_AVP perfectly_AV0 ._PUN You_PNP do_VDB n't_XX0 get_VVI perfection_NN1 very_AV0 often_AV0 ._PUN &rsquo;_PUQ,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00haa2&batch=85,98936833,98936835,come_out_AV0,1
692,come_out,92,93,G25,on top . The ends on top . The ends come out parallel with the standing part ( Fig 5 ) . LARKS,on_PRP top_NN1-AJ0 ._PUN The_AT0 ends_NN2 on_PRP top_NN1-AJ0 ._PUN The_AT0 ends_NN2 come_VVB out_AVP parallel_AV0 with_PRP the_AT0 standing_NN1-AJ0 part_NN1 (_PUL Fig_NN1 5_CRD )_PUR ._PUN LARKS_NN2,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00haa2&batch=92,63283095,63283097,come_out_AV0,1
695,come_out,95,96,H83,"hampering their growth in art . Similarly , Allison has come out strongly in favour of assessment , as the following demonstrates :","hampering_VVG their_DPS growth_NN1 in_PRP art_NN1 ._PUN Similarly_AV0 ,_PUN Allison_NP0 has_VHZ come_VVN out_AVP strongly_AV0 in_PRP favour_NN1 of_PRF assessment_NN1 ,_PUN as_CJS-PRP the_AT0 following_AJ0 demonstrates_VVZ :_PUN",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00haa2&batch=95,71454215,71454217,come_out_AV0,1
726,give_up,26,27,K55,A GUN collector has been ordered by a court to give up the arsenal of weapons he had gathered since he was 16,A_AT0 GUN_NN1 collector_NN1 has_VHZ been_VBN ordered_VVN by_PRP a_AT0 court_NN1 to_TO0 give_VVI up_AVP the_AT0 arsenal_NN1 of_PRF weapons_NN2 he_PNP had_VHD gathered_VVN since_CJS he_PNP was_VBD 16_CRD,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9su&batch=26,102023134,102023136,give_up_AT0,1
753,give_up,53,20,CDG,"beating irregularly . His doctor told him he had to give up cigarettes and alcohol . Of course , he defied doctor 's","beating_VVG irregularly_AV0 ._PUN His_DPS doctor_NN1 told_VVD him_PNP he_PNP had_VHD to_TO0 give_VVI up_AVP cigarettes_NN2 and_CJC alcohol_NN1 ._PUN Of_PRF course_NN1 ,_PUN he_PNP defied_VVD doctor_NN1 's_POS",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9vr&batch=19,30139489,30139491,give_up_NN2,1
755,give_up,55,22,K55,Wensleydale Smokebusters have pledged to help support someone wanting to give up cigarettes . COUNCIL officials in Darlington are anxious to create a,Wensleydale_NP0 Smokebusters_NP0 have_VHB pledged_VVN to_TO0 help_VVI support_VVI someone_PNI wanting_VVG-AJ0 to_TO0 give_VVI up_AVP cigarettes_NN2 ._PUN COUNCIL_NN1 officials_NN2 in_PRP Darlington_NP0 are_VBB anxious_AJ0 to_TO0 create_VVI a_AT0,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9vr&batch=21,102028275,102028277,give_up_NN2,1
768,give_up,68,49,A95,. The air force general leading the mutineers refused to give up control of the base even as the seige of Makati ended,._PUN The_AT0 air_NN1 force_NN1 general_NN1 leading_VVG the_AT0 mutineers_NN2 refused_VVD-VVN to_TO0 give_VVI up_AVP control_NN1 of_PRF the_AT0 base_NN1 even_AV0 as_CJS-PRP the_AT0 seige_NN1 of_PRF Makati_NP0 ended_VVD,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9vn&batch=48,4784827,4784829,give_up_NN1,1
795,give_up,95,76,JY9,"&rsquo; Ashley shook her head . &lsquo; Why did you give up Formula One ? &rsquo; she enquired . She hesitated , aware","&rsquo;_PUQ Ashley_NP0 shook_VVD her_DPS head_NN1 ._PUN &lsquo;_PUQ Why_AVQ did_VDD you_PNP give_VVI up_AVP Formula_NN1 One_PNI-CRD ?_PUN &rsquo;_PUQ she_PNP enquired_VVD ._PUN She_PNP hesitated_VVD ,_PUN aware_AJ0",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9vn&batch=75,97962024,97962026,give_up_NN1,1
810,give_in,10,11,ADH,"study of portraiture lies in the help that they may give in the identification of other portraits , particularly sculptures , since it","study_NN1 of_PRF portraiture_NN1 lies_VVZ-NN2 in_PRP the_AT0 help_NN1 that_CJT they_PNP may_VM0 give_VVI in_AVP the_AT0 identification_NN1 of_PRF other_AJ0 portraits_NN2 ,_PUN particularly_AV0 sculptures_NN2 ,_PUN since_CJS it_PNP",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha91&batch=10,8192183,8192185,give_in_AT0,1
838,give_in,38,18,G07,will survive . I will escape . I will not give in . I will not give in . I hate God .,will_VM0 survive_VVI ._PUN I_PNP will_VM0 escape_VVI ._PUN I_PNP will_VM0 not_XX0 give_VVI in_AVP ._PUN I_PNP will_VM0 not_XX0 give_VVI in_AVP ._PUN I_PNP hate_VVB God_NP0-NN1 ._PUN,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9f&batch=17,61057066,61057068,give_in_PUN,1
853,give_in,53,33,B0B,"her jerk her head up . &lsquo; I must n't give in . I must go on ! &rsquo; she muttered , and","her_PNP jerk_VVB-NN1 her_DPS head_NN1-VVB up_AVP ._PUN &lsquo;_PUQ I_PNP must_VM0 n't_XX0 give_VVI in_AVP ._PUN I_PNP must_VM0 go_VVI on_AVP !_PUN &rsquo;_PUQ she_PNP muttered_VVD ,_PUN and_CJC",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9f&batch=32,16231502,16231504,give_in_PUN,1
859,give_in,59,39,H0F,"chin ? All that lot ? "" "" O.K. I give in . Tell me your plan , though I do n't see","chin_NN1 ?_PUN All_DT0 that_DT0 lot_NN1 ?_PUN ""_PUQ ""_PUQ O.K._AV0 I_PNP give_VVB in_AVP ._PUN Tell_VVB me_PNP your_DPS plan_NN1 ,_PUN though_CJS I_PNP do_VDB n't_XX0 see_VVI",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9f&batch=38,69863120,69863122,give_in_PUN,1
884,give_in,84,10,HHX,give more money to the Common Market budget than we give in aid to the third world . What sense is there in,give_VVB more_DT0 money_NN1 to_PRP the_AT0 Common_AJ0 Market_NN1 budget_NN1 than_CJS we_PNP give_VVB in_AVP aid_NN1 to_PRP the_AT0 third_ORD world_NN1 ._PUN What_DTQ sense_NN1 is_VBZ there_AV0 in_PRP,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha98&batch=9,79209562,79209564,give_in_NN1,1
904,give_out,5,6,FP6,n't or wo n't help and the airlines refuse to give out information on passengers . I put the phone down . &lsquo;,n't_XX0 or_CJC wo_VM0 n't_XX0 help_VVI and_CJC the_AT0 airlines_NN2 refuse_VVB to_TO0 give_VVI out_AVP information_NN1 on_PRP passengers_NN2 ._PUN I_PNP put_VVB the_AT0 phone_NN1 down_AVP ._PUN &lsquo;_PUQ,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9v1&batch=5,56132884,56132886,give_out_NN1,1
908,give_out,9,10,HRP,artists and disability . This indexing is to help to give out information and to network . Most importantly it is also a,artists_NN2 and_CJC disability_NN1 ._PUN This_DT0 indexing_NN1 is_VBZ to_TO0 help_VVI to_TO0 give_VVI out_AVP information_NN1 and_CJC to_PRP network_NN1 ._PUN Most_AV0 importantly_AV0 it_PNP is_VBZ also_AV0 a_AT0,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9v1&batch=9,86056501,86056503,give_out_NN1,1
912,give_out,13,14,K1R,set up a special emergency room with phene lines to give out information . She says your child has been admitted but call,set_VVB up_AVP a_AT0 special_AJ0 emergency_NN1 room_NN1 with_PRP phene_NN1 lines_NN2 to_TO0 give_VVI out_AVP information_NN1 ._PUN She_PNP says_VVZ your_DPS child_NN1 has_VHZ been_VBN admitted_VVN but_CJC call_VVB,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9v1&batch=13,99046720,99046722,give_out_NN1,1
916,give_out,17,4,B3D,the available databases . Both systems operators and database producers give out newsletters in which changes and &lsquo; new &rsquo; techniques are introduced,the_AT0 available_AJ0 databases_NN2 ._PUN Both_DT0 systems_NN2 operators_NN2 and_CJC database_NN1 producers_NN2 give_VVB out_AVP newsletters_NN2 in_PRP which_DTQ changes_NN2-VVZ and_CJC &lsquo;_PUQ new_AJ0 &rsquo;_PUQ techniques_NN2 are_VBB introduced_VVN,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9uy&batch=3,19102809,19102811,give_out_NN2,1
974,give_out,75,15,KR2,Say something say something . Yeah just say something . Give out a shout to someone . Go on . Why are you,Say_VVB something_PNI say_VVB something_PNI ._PUN Yeah_ITJ just_AV0 say_VVB something_PNI ._PUN Give_VVB out_AVP a_AT0 shout_NN1 to_PRP someone_PNI ._PUN Go_VVB on_AVP ._PUN Why_AVQ are_VBB you_PNP,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9sw&batch=14,111008386,111008388,Give_out_AT0,1
1015,give_away,23,24,EEF,"big &lsquo; if &rsquo; &mdash; the patent system does not give away the vital clue to an innovative product of process , innovating","big_AJ0 &lsquo;_PUQ if_CJS &rsquo;_PUQ &mdash;_PUN the_AT0 patent_NN1-AJ0 system_NN1 does_VDZ not_XX0 give_VVI away_AV0 the_AT0 vital_AJ0 clue_NN1 to_PRP an_AT0 innovative_AJ0 product_NN1 of_PRF process_NN1 ,_PUN innovating_AJ0",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9sl&batch=23,47192694,47192696,give_away_AT0,1
1032,give_away,40,6,ARB,"you know this word ? If you do , you give away your age . Shufti was Desert-Rat slang in the Forties .","you_PNP know_VVI this_DT0 word_NN1 ?_PUN If_CJS you_PNP do_VDB ,_PUN you_PNP give_VVB away_AV0 your_DPS age_NN1 ._PUN Shufti_NP0 was_VBD Desert-Rat_NP0 slang_NN1 in_PRP the_AT0 Forties_CRD ._PUN",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9sk&batch=5,13775910,13775912,give_away_DPS,1
